UPID	Gene	Molecular weight (Da)	GALACTOSE	ACETATE	PYRUVATE	GLYCEROL	FRUCTOSE	SUCCINATE	GLUCOSE	Annotated functional COG group (description)	Description	Annotated functional COG class	Annotated functional COG groups (letter)
P00968	carB	117749.3328	1675	1514	1847	2852	3695	2607	4445	Amino acid transport and metabolism	Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) GN=carB PE=1 SV=2	METABOLISM	EF
P09373	pflB	85284.7241	5774	5645	6557	5863	7624	6640	4615	Energy production and conversion	Formate acetyltransferase 1 OS=Escherichia coli (strain K12) GN=pflB PE=1 SV=2	METABOLISM	C
P0A6Y8	dnaK	69054.47444	11030	14174	13239	17699	18740	19666	18605	Posttranslational modification, protein turnover, chaperones	Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	O
P0A705	infB	79678.11829	1832	1912	2659	2827	3534	2546	3047	Translation, ribosomal structure and biogenesis	Translation initiation factor IF-2 OS=Escherichia coli (strain K12) GN=infB PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	J
P05793	ilvC	54016.26705	13576	15604	14079	29065	35790	24774	33338	Amino acid transport and metabolism	Ketol-acid reductoisomerase OS=Escherichia coli (strain K12) GN=ilvC PE=1 SV=4	METABOLISM	EH
P00864	ppc	98982.23464	1663	1349	1536	2185	5126	1479	3633	Energy production and conversion	Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) GN=ppc PE=1 SV=1	METABOLISM	C
P00957	alaS	95954.64438	1265	1133	1846	1710	2613	1821	1948	Translation, ribosomal structure and biogenesis	Alanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P0A6M8	fusA	77514.47523	20501	21360	28633	31225	38115	32672	39027	Translation, ribosomal structure and biogenesis	Elongation factor G OS=Escherichia coli (strain K12) GN=fusA PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P00961	glyS	76746.96578	1981	1959	2693	2683	3272	2448	2914	Translation, ribosomal structure and biogenesis	Glycyl-tRNA synthetase beta subunit OS=Escherichia coli (strain K12) GN=glyS PE=1 SV=4	INFORMATION STORAGE AND PROCESSING	J
P76558	maeB	82346.78295	986	1504	1257	1134	1245	1455	469	Energy production and conversion	NADP-dependent malic enzyme OS=Escherichia coli (strain K12) GN=maeB PE=1 SV=1	METABOLISM	C
P0AG67	rpsA	61102.7043	11286	10729	14453	20402	25304	17888	23797	Translation, ribosomal structure and biogenesis	30S ribosomal protein S1 OS=Escherichia coli (strain K12) GN=rpsA PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	J
P07813	leuS	97153.28428	1100	1202	1311	1505	1797	1472	1846	Translation, ribosomal structure and biogenesis	Leucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=leuS PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P00561	thrA	89045.79557	2073	2108	10181	4679	9641	3815	5703	Amino acid transport and metabolism	Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2	METABOLISM	E
P0AFG3	sucA	104977.5259	1630	4195	4196	2752	3460	3418	1706	Energy production and conversion	2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=sucA PE=1 SV=1	METABOLISM	C
P00956	ileS	104212.5396	1357	1348	1921	1814	2021	1569	2166	Translation, ribosomal structure and biogenesis	Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5	INFORMATION STORAGE AND PROCESSING	J
P25553	aldA	52221.71682	28622	17217	27353	16408	9487	27057	3501	Energy production and conversion	Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=aldA PE=1 SV=2	METABOLISM	C
P10408	secA	101940.9335	442	451	790	622	771	617	706	Intracellular trafficking, secretion, and vesicular transport	Protein translocase subunit secA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	U
P21889	aspS	65853.62132	1397	1505	1605	1837	2590	1967	2272	Translation, ribosomal structure and biogenesis	Aspartyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=aspS PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	J
P07395	pheT	87305.38731	3868	2818	4724	4670	5932	4230	5023	Translation, ribosomal structure and biogenesis	Phenylalanyl-tRNA synthetase beta chain OS=Escherichia coli (strain K12) GN=pheT PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P07118	valS	108105.6884	756	828	1044	1114	1407	1052	1719	Translation, ribosomal structure and biogenesis	Valyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=valS PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P23847	dppA	60237.23952	8002	8170	11652	9853	7462	11094	4939	Amino acid transport and metabolism	Periplasmic dipeptide transport protein OS=Escherichia coli (strain K12) GN=dppA PE=1 SV=1	METABOLISM	E
P06959	aceF	66036.77654	4888	3567	21930	5649	11238	6891	9057	Energy production and conversion	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3	METABOLISM	C
P13029	katG	79956.11435	3944	2683	3661	3180	2927	3254	2199	Inorganic ion transport and metabolism	Catalase-peroxidase OS=Escherichia coli (strain K12) GN=katG PE=1 SV=2	METABOLISM	P
P0AES4	gyrA	96885.40294	405	479	607	711	896	637	750	Replication, recombination and repair	DNA gyrase subunit A OS=Escherichia coli (strain K12) GN=gyrA PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	L
P08200	icd	45709.46787	21773	30054	35445	24591	23699	28121	33670	Energy production and conversion	Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1	METABOLISM	C
P0ABB4	atpD	50275.81931	14507	16016	30533	26449	24016	25885	24156	Energy production and conversion	ATP synthase subunit beta OS=Escherichia coli (strain K12) GN=atpD PE=1 SV=2	METABOLISM	C
P04825	pepN	98838.72264	978	1215	1327	1418	1472	1324	1296	Amino acid transport and metabolism	Aminopeptidase N OS=Escherichia coli (strain K12) GN=pepN PE=1 SV=2	METABOLISM	E
P0AD61	pykF	50679.24536	6137	4455	3406	7111	11825	4950	8902	Carbohydrate transport and metabolism	Pyruvate kinase I OS=Escherichia coli (strain K12) GN=pykF PE=1 SV=1	METABOLISM	G
P0A9G6	aceA	47473.57659	195985	242737	48723	74908	33323	121542	28173	Energy production and conversion	Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1	METABOLISM	C
P0AC33	fumA	60242.56175	2088	4783	3289	2523	2749	4416	1352	Energy production and conversion	Fumarate hydratase class I, aerobic OS=Escherichia coli (strain K12) GN=fumA PE=1 SV=2	METABOLISM	C
P09546	putA	143707.3978	77	117	120	134	136	114	128	Energy production and conversion	Bifunctional protein putA OS=Escherichia coli (strain K12) GN=putA PE=1 SV=3	METABOLISM	C
P21179	katE	84092.42396	3328	2061	1150	1863	1121	2113	1180	Inorganic ion transport and metabolism	Catalase HPII OS=Escherichia coli (strain K12) GN=katE PE=1 SV=1	METABOLISM	P
P0A6Z3	htpG	71360.33894	1162	1330	1554	1973	2069	2106	2096	Posttranslational modification, protein turnover, chaperones	Chaperone protein htpG OS=Escherichia coli (strain K12) GN=htpG PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P0A6P1	tsf	30385.76806	8289	8017	12702	15125	17724	12319	19872	Translation, ribosomal structure and biogenesis	Elongation factor Ts OS=Escherichia coli (strain K12) GN=tsf PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P08839	ptsI	63503.89517	4457	2651	3075	4118	9261	3423	10158	Carbohydrate transport and metabolism	Phosphoenolpyruvate-protein phosphotransferase OS=Escherichia coli (strain K12) GN=ptsI PE=1 SV=1	METABOLISM	G
P0A6E4	argG	49848.81733	2880	2393	3341	4295	5915	3827	8325	Amino acid transport and metabolism	Argininosuccinate synthase OS=Escherichia coli (strain K12) GN=argG PE=1 SV=2	METABOLISM	E
P0A6F3	glpK	56177.25025	414	527	612	27858	425	570	496	Energy production and conversion	Glycerol kinase OS=Escherichia coli (strain K12) GN=glpK PE=1 SV=2	METABOLISM	C
P0A9M8	pta	77105.88254	909	877	3512	1053	1461	1136	1148	General function prediction only	Phosphate acetyltransferase OS=Escherichia coli (strain K12) GN=pta PE=1 SV=2	POORLY CHARACTERIZED	R
P0A850	tig	48144.85133	11402	11077	14424	18285	21284	18740	24929	Posttranslational modification, protein turnover, chaperones	Trigger factor OS=Escherichia coli (strain K12) GN=tig PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P0A940	bamA	90478.46722	1255	1167	1962	1891	1898	1562	2029	Cell wall/membrane/envelope biogenesis	Outer membrane protein assembly factor yaeT OS=Escherichia coli (strain K12) GN=yaeT PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	M
P05055	pnp	77034.97797	2234	2343	2931	3275	4051	3146	3171	Translation, ribosomal structure and biogenesis	Polyribonucleotide nucleotidyltransferase OS=Escherichia coli (strain K12) GN=pnp PE=1 SV=3	INFORMATION STORAGE AND PROCESSING	J
P0A6T1	pgi	61472.99513	3461	2918	2572	4494	4632	3150	4601	Carbohydrate transport and metabolism	Glucose-6-phosphate isomerase OS=Escherichia coli (strain K12) GN=pgi PE=1 SV=1	METABOLISM	G
P0AC41	sdhA	64363.08691	2734	6360	4984	3118	3371	4172	2083	Energy production and conversion	Succinate dehydrogenase flavoprotein subunit OS=Escherichia coli (strain K12) GN=sdhA PE=1 SV=1	METABOLISM	C
P0A9M0	lon	87364.80487	869	678	1182	1235	1585	1195	1139	Posttranslational modification, protein turnover, chaperones	Lon protease OS=Escherichia coli (strain K12) GN=lon PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P27550	acs	72030.23532	9872	6590	5485	3967	2489	9177	995	Lipid transport and metabolism	Acetyl-coenzyme A synthetase OS=Escherichia coli (strain K12) GN=acs PE=1 SV=2	METABOLISM	I
P23538	ppsA	87361.60027	1761	2609	4184	1851	607	3507	1158	Carbohydrate transport and metabolism	Phosphoenolpyruvate synthase OS=Escherichia coli (strain K12) GN=ppsA PE=1 SV=5	METABOLISM	G
P04079	guaA	58623.86483	1295	1392	1640	2318	2993	2459	3870	Nucleotide transport and metabolism	GMP synthase [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=guaA PE=1 SV=1	METABOLISM	F
P22523	mukB	170107.5558	165	152	212	199	319	208	199	Cell cycle control, cell division, chromosome partitioning	Chromosome partition protein mukB OS=Escherichia coli (strain K12) GN=mukB PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	D
P0A9W3	yjjK	62386.25685	1837	1597	2259	2733	3079	2838	2571	General function prediction only	Uncharacterized ABC transporter ATP-binding protein YjjK OS=Escherichia coli (strain K12) GN=yjjK PE=1 SV=2	POORLY CHARACTERIZED	R
P0AES6	gyrB	89875.87852	475	528	697	753	1004	617	842	Replication, recombination and repair	DNA gyrase subunit B OS=Escherichia coli (strain K12) GN=gyrB PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	L
P21513	rne	118106.8771	566	565	665	751	1111	664	848	Translation, ribosomal structure and biogenesis	Ribonuclease E OS=Escherichia coli (strain K12) GN=rne PE=1 SV=6	INFORMATION STORAGE AND PROCESSING	J
P0A8M3	thrS	73948.79422	652	646	817	947	1118	789	939	Translation, ribosomal structure and biogenesis	Threonyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=thrS PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	J
P0A799	pgk	41074.62371	29926	29802	28150	34333	46061	27811	40039	Carbohydrate transport and metabolism	Phosphoglycerate kinase OS=Escherichia coli (strain K12) GN=pgk PE=1 SV=2	METABOLISM	G
P00370	gdhA	48532.35541	2406	3650	3776	4152	6184	3520	6343	Amino acid transport and metabolism	NADP-specific glutamate dehydrogenase OS=Escherichia coli (strain K12) GN=gdhA PE=1 SV=1	METABOLISM	E
P0A825	glyA	45269.96251	12529	9091	15279	14060	21028	16588	24510	Amino acid transport and metabolism	Serine hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=glyA PE=1 SV=1	METABOLISM	E
P23843	oppA	60842.91364	4291	2957	5510	4991	6056	6485	5755	Amino acid transport and metabolism	Periplasmic oligopeptide-binding protein OS=Escherichia coli (strain K12) GN=oppA PE=1 SV=2	METABOLISM	E
P0A9A6	ftsZ	40280.55906	3098	3181	4167	4321	5163	4363	6070	Cell cycle control, cell division, chromosome partitioning	Cell division protein ftsZ OS=Escherichia coli (strain K12) GN=ftsZ PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	D
P08997	aceB	60217.52759	16308	20350	4700	8308	4842	9008	4393	Energy production and conversion	Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1	METABOLISM	C
P33602	nuoG	100217.9683	905	871	1332	1467	1477	1428	934	Energy production and conversion	NADH-quinone oxidoreductase subunit G OS=Escherichia coli (strain K12) GN=nuoG PE=1 SV=4	METABOLISM	C
P17846	cysI	63939.93503	1333	1575	1931	2553	2699	1748	3011	Inorganic ion transport and metabolism	Sulfite reductase [NADPH] hemoprotein beta-component OS=Escherichia coli (strain K12) GN=cysI PE=1 SV=4	METABOLISM	P
P00582	polA	103035.5166	329	352	482	443	423	380	440	Replication, recombination and repair	DNA polymerase I OS=Escherichia coli (strain K12) GN=polA PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	L
P0A9B2	gapA	35492.2309	16649	20252	21072	32565	62762	24432	47083	Carbohydrate transport and metabolism	Glyceraldehyde-3-phosphate dehydrogenase A OS=Escherichia coli (strain K12) GN=gapA PE=1 SV=2	METABOLISM	G
P15639	purH	57274.98651	1366	1138	2584	2376	2814	2185	2728	Nucleotide transport and metabolism	Bifunctional purine biosynthesis protein purH OS=Escherichia coli (strain K12) GN=purH PE=1 SV=1	METABOLISM	F
P0A853	tnaA	52721.57894	1392	2409	886	1045	700	1726	613	Amino acid transport and metabolism	Tryptophanase OS=Escherichia coli (strain K12) GN=tnaA PE=1 SV=1	METABOLISM	E
P25516	acnA	97597.74141	1309	1601	785	808	675	1179	595	Energy production and conversion	Aconitate hydratase 1 OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3	METABOLISM	C
P33599	nuoC	68174.53178	909	889	1067	1631	1508	1220	935	Energy production and conversion	NADH-quinone oxidoreductase subunit C/D OS=Escherichia coli (strain K12) GN=nuoC PE=1 SV=3	METABOLISM	C
P0A9C5	glnA	51852.71686	6009	4983	7185	10251	13251	6422	17828	Amino acid transport and metabolism	Glutamine synthetase OS=Escherichia coli (strain K12) GN=glnA PE=1 SV=2	METABOLISM	E
P09151	leuA	57244.09138	4272	4243	2093	3381	3810	3468	2711	Amino acid transport and metabolism	2-isopropylmalate synthase OS=Escherichia coli (strain K12) GN=leuA PE=1 SV=5	METABOLISM	E
P37685	aldB	56252.47906	2931	1711	1359	1055	455	1181	589	Energy production and conversion	Aldehyde dehydrogenase B OS=Escherichia coli (strain K12) GN=aldB PE=1 SV=2	METABOLISM	C
P06149	dld	64553.60212	514	672	577	557	548	604	608	Energy production and conversion	D-lactate dehydrogenase OS=Escherichia coli (strain K12) GN=dld PE=1 SV=3	METABOLISM	C
P37330	glcB	80419.85713	1283	2377	289	767	443	900	282	Energy production and conversion	Malate synthase G OS=Escherichia coli (strain K12) GN=glcB PE=1 SV=3	METABOLISM	C
P0ABH7	gltA	47965.89357	18130	34014	37156	17601	20067	19403	9671	Energy production and conversion	Citrate synthase OS=Escherichia coli (strain K12) GN=gltA PE=1 SV=1	METABOLISM	C
P35340	ahpF	56124.08085	1484	2203	1820	2320	3058	2379	2435	Posttranslational modification, protein turnover, chaperones	Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) GN=ahpF PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	O
P0A910	ompA	37159.64679	73020	74605	70788	102913	91352	89206	119680	Cell wall/membrane/envelope biogenesis	Outer membrane protein A OS=Escherichia coli (strain K12) GN=ompA PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	M
P17169	glmS	66834.61906	2110	1661	2797	3600	4185	3345	4025	Cell wall/membrane/envelope biogenesis	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) GN=glmS PE=1 SV=4	CELLULAR PROCESSES AND SIGNALING	M
P16659	proS	63634.68294	2720	2267	3209	3719	4835	3844	4322	Translation, ribosomal structure and biogenesis	Prolyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=proS PE=1 SV=4	INFORMATION STORAGE AND PROCESSING	J
P60422	rplB	29824.00117	6446	6847	11648	12282	19492	10100	14191	Translation, ribosomal structure and biogenesis	50S ribosomal protein L2 OS=Escherichia coli (strain K12) GN=rplB PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P00452	nrdA	82789.58209	434	348	724	667	801	516	560	Nucleotide transport and metabolism	Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) GN=nrdA PE=1 SV=2	METABOLISM	F
P27298	prlC	77100.625	1031	1084	1029	1204	1324	1080	1350	Amino acid transport and metabolism	Oligopeptidase A OS=Escherichia coli (strain K12) GN=prlC PE=3 SV=3	METABOLISM	E
P0A6B7	iscS	45042.91969	9043	9479	9824	12342	14541	8615	13683	Amino acid transport and metabolism	Cysteine desulfurase OS=Escherichia coli (strain K12) GN=iscS PE=1 SV=1	METABOLISM	E
P13035	glpD	56697.06997	120	107	84	5946	174	132	135	Energy production and conversion	Aerobic glycerol-3-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=glpD PE=1 SV=3	METABOLISM	C
P0ABB0	atpA	55169.73662	11769	11045	19369	17975	19100	20018	14552	Energy production and conversion	ATP synthase subunit alpha OS=Escherichia coli (strain K12) GN=atpA PE=1 SV=1	METABOLISM	C
P38038	cysJ	66210.86614	1414	1571	1873	2586	3710	2064	3317	Inorganic ion transport and metabolism	Sulfite reductase [NADPH] flavoprotein alpha-component OS=Escherichia coli (strain K12) GN=cysJ PE=1 SV=4	METABOLISM	P
P0AAI3	ftsH	70645.4092	1467	1234	1987	2098	2278	1744	2236	Posttranslational modification, protein turnover, chaperones	ATP-dependent zinc metalloprotease FtsH OS=Escherichia coli (strain K12) GN=ftsH PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P0AG30	rho	46956.59013	1696	2062	2343	2583	3129	2669	3243	Transcription	Transcription termination factor Rho OS=Escherichia coli (strain K12) GN=rho PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	K
P0A817	metK	41907.1862	4925	3546	6783	6822	8535	6038	12499	Coenzyme transport and metabolism	S-adenosylmethionine synthase OS=Escherichia coli (strain K12) GN=metK PE=1 SV=2	METABOLISM	H
P0ADG7	guaB	51972.01166	3240	4041	4400	5556	7601	6679	11237	Nucleotide transport and metabolism	Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli (strain K12) GN=guaB PE=1 SV=1	METABOLISM	F
Q59385	copA	87799.79865	3083	3707	4131	3977	3535	3913	2769	Inorganic ion transport and metabolism	Copper-exporting P-type ATPase A OS=Escherichia coli (strain K12) GN=copA PE=1 SV=4	METABOLISM	P
P0AFF6	nusA	54819.06259	3467	2771	3807	4323	5474	4656	5576	Transcription	Transcription elongation protein nusA OS=Escherichia coli (strain K12) GN=nusA PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	K
P0A7Z4	rpoA	36471.13747	9998	11406	12963	14801	13757	11067	14575	Transcription	DNA-directed RNA polymerase subunit alpha OS=Escherichia coli (strain K12) GN=rpoA PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	K
P0A8N3	lysS	57549.12811	1343	1556	1538	1999	2884	1945	2565	Translation, ribosomal structure and biogenesis	Lysyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=lysS PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P00959	metG	76188.10041	1029	1094	1417	1467	1920	1295	2082	Translation, ribosomal structure and biogenesis	Methionyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=metG PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P00350	gnd	51431.30094	4801	5501	7002	8331	10318	8024	14100	Carbohydrate transport and metabolism	6-phosphogluconate dehydrogenase, decarboxylating OS=Escherichia coli (strain K12) GN=gnd PE=1 SV=2	METABOLISM	G
P0AEE5	mglB	35672.35627	86781	19551	17990	17497	9705	27050	3223	Carbohydrate transport and metabolism	D-galactose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=mglB PE=1 SV=1	METABOLISM	G
P0AD96	livJ	39033.9819	23012	21124	22034	23525	25098	29892	22968	Amino acid transport and metabolism	Leu/Ile/Val-binding protein OS=Escherichia coli (strain K12) GN=livJ PE=1 SV=1	METABOLISM	E
P13009	metH	135893.6125	230	178	306	316	492	342	421	Amino acid transport and metabolism	Methionine synthase OS=Escherichia coli (strain K12) GN=metH PE=1 SV=5	METABOLISM	E
P61889	mdh	32299.20422	49852	119781	129097	65977	75763	71565	53138	Energy production and conversion	Malate dehydrogenase OS=Escherichia coli (strain K12) GN=mdh PE=1 SV=1	METABOLISM	C
P32132	typA	67295.47014	1109	798	1442	1647	2451	1445	3013	Signal transduction mechanisms	GTP-binding protein typA/BipA OS=Escherichia coli (strain K12) GN=typA PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	T
P77804	ydgA	54636.91746	924	1121	915	1205	1117	1025	1215	Function unknown	Protein ydgA OS=Escherichia coli (strain K12) GN=ydgA PE=1 SV=1	POORLY CHARACTERIZED	S
P06971	fhuA	82113.29387	762	584	812	889	922	888	873	Inorganic ion transport and metabolism	Ferrichrome-iron receptor OS=Escherichia coli (strain K12) GN=fhuA PE=1 SV=2	METABOLISM	P
P0ADY1	ppiD	68089.75025	1442	813	1031	1343	1588	1397	1057	Posttranslational modification, protein turnover, chaperones	Peptidyl-prolyl cis-trans isomerase D OS=Escherichia coli (strain K12) GN=ppiD PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P30850	rnb	72427.22502	481	613	851	903	1334	936	1260	Transcription	Exoribonuclease 2 OS=Escherichia coli (strain K12) GN=rnb PE=1 SV=3	INFORMATION STORAGE AND PROCESSING	K
P00962	glnS	63419.78257	545	593	773	845	975	646	999	Translation, ribosomal structure and biogenesis	Glutaminyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=glnS PE=1 SV=3	INFORMATION STORAGE AND PROCESSING	J
P0AB71	fbaA	39104.59675	11298	11352	13943	15624	24513	12513	20049	Carbohydrate transport and metabolism	Fructose-bisphosphate aldolase class 2 OS=Escherichia coli (strain K12) GN=fbaA PE=1 SV=2	METABOLISM	G
P0ABK5	cysK	34450.28634	51117	66764	61734	68900	75498	73976	73308	Amino acid transport and metabolism	Cysteine synthase A OS=Escherichia coli (strain K12) GN=cysK PE=1 SV=2	METABOLISM	E
P0ACY3	yeaG	74415.57277	1150	692	495	705	544	554	519	Signal transduction mechanisms	Uncharacterized protein yeaG OS=Escherichia coli (strain K12) GN=yeaG PE=3 SV=1	CELLULAR PROCESSES AND SIGNALING	T
P23845	cysN	52508.01953	583	689	1001	1160	1616	849	1520	Inorganic ion transport and metabolism	Sulfate adenylyltransferase subunit 1 OS=Escherichia coli (strain K12) GN=cysN PE=1 SV=1	METABOLISM	P
P23865	prc	76597.69941	343	362	451	451	506	423	506	Cell wall/membrane/envelope biogenesis	Tail-specific protease OS=Escherichia coli (strain K12) GN=prc PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	M
P21177	fadB	79525.42988	1177	611	1030	279	330	919	173	Lipid transport and metabolism	Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadB PE=1 SV=2	METABOLISM	I
P36938	pgm	58306.46912	993	1344	1628	1511	1278	1159	1344	Carbohydrate transport and metabolism	Phosphoglucomutase OS=Escherichia coli (strain K12) GN=pgm PE=1 SV=1	METABOLISM	G
P0A870	talB	35179.30906	7722	6722	11222	11297	12512	9614	10629	Carbohydrate transport and metabolism	Transaldolase B OS=Escherichia coli (strain K12) GN=talB PE=1 SV=2	METABOLISM	G
P68767	pepA	54826.96661	922	710	1191	1171	1222	877	1076	Amino acid transport and metabolism	Cytosol aminopeptidase OS=Escherichia coli (strain K12) GN=pepA PE=1 SV=1	METABOLISM	E
P00934	thrC	47066.2141	4676	5601	19636	11109	14507	10117	14609	Amino acid transport and metabolism	Threonine synthase OS=Escherichia coli (strain K12) GN=thrC PE=1 SV=1	METABOLISM	E
P0A9P0	lpdA	50638.58341	9013	9067	24279	10310	14094	14318	12596		Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain K12) GN=lpdA PE=1 SV=2		-
P75691	yahK	37935.87879	2620	2785	1249	1763	1233	1707	1474	General function prediction only	Uncharacterized zinc-type alcohol dehydrogenase-like protein YahK OS=Escherichia coli (strain K12) GN=yahK PE=1 SV=1	POORLY CHARACTERIZED	R
P0ABZ6	surA	47236.24996	1184	900	1207	1299	1409	1189	1554	Posttranslational modification, protein turnover, chaperones	Chaperone surA OS=Escherichia coli (strain K12) GN=surA PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
