bnumber	Description	Gene	Peptides.used.for.quantitation	Confidence.score	MW[Da]	Bnumber	Annotated functional COG groups (letter)	Annotated functional COG group (description)	Annotated functional COG class
b0053	Chaperone surA OS=Escherichia coli (strain K12) GN=surA PE=1 SV=1	surA	24	1270.98	47236.24996	b0053	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
b0054	LPS-assembly protein lptD OS=Escherichia coli (strain K12) GN=lptD PE=1 SV=2	lptD	23	1380.25	89597.20601000001	b0054	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b0055	DnaJ-like protein djlA OS=Escherichia coli (strain K12) GN=djlA PE=1 SV=1	djlA	1	36.24	30541.548639999997	b0055	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
b0058	Ribosomal large subunit pseudouridine synthase A OS=Escherichia coli (strain K12) GN=rluA PE=1 SV=2	rluA	6	322.31	24826.72331	b0058	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b0059	RNA polymerase-associated protein rapA OS=Escherichia coli (strain K12) GN=rapA PE=1 SV=2	rapA	18	870.09	109682.6916	b0059	KL	Transcription	INFORMATION STORAGE AND PROCESSING
b0068	Thiamine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=thiB PE=1 SV=2	thiB	1	59.89	36122.50419	b0068	H	Coenzyme transport and metabolism	METABOLISM
b0071	3-isopropylmalate dehydratase small subunit OS=Escherichia coli (strain K12) GN=leuD PE=1 SV=3	leuD	10	680.37	22455.24259	b0071	E	Amino acid transport and metabolism	METABOLISM
b0072	3-isopropylmalate dehydratase large subunit OS=Escherichia coli (strain K12) GN=leuC PE=1 SV=2	leuC	19	1235.05	49832.042219999996	b0072	E	Amino acid transport and metabolism	METABOLISM
b0073	3-isopropylmalate dehydrogenase OS=Escherichia coli (strain K12) GN=leuB PE=1 SV=3	leuB	13	919.93	39474.00703	b0073	CE	Energy production and conversion	METABOLISM
b0074	2-isopropylmalate synthase OS=Escherichia coli (strain K12) GN=leuA PE=1 SV=5	leuA	30	2302.65	57244.09138	b0074	E	Amino acid transport and metabolism	METABOLISM
b0077	Acetolactate synthase isozyme 3 large subunit OS=Escherichia coli (strain K12) GN=ilvI PE=1 SV=2	ilvI	16	792.09	62925.97681	b0077	EH	Amino acid transport and metabolism	METABOLISM
b0078	Acetolactate synthase isozyme 3 small subunit OS=Escherichia coli (strain K12) GN=ilvH PE=1 SV=3	ilvH	9	590.6	17947.67665	b0078	E	Amino acid transport and metabolism	METABOLISM
b0080	Fructose repressor OS=Escherichia coli (strain K12) GN=fruR PE=1 SV=1	cra	8	542.92	37957.71142	b0080	K	Transcription	INFORMATION STORAGE AND PROCESSING
b0081	Protein MraZ OS=Escherichia coli (strain K12) GN=mraZ PE=3 SV=1	mraZ	3	175.13	17356.92635	b0081	S	Function unknown	POORLY CHARACTERIZED
b0082	Ribosomal RNA small subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rsmH PE=1 SV=1	rsmH	10	598.72	34838.18791	b0082	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b0083	Cell division protein ftsL OS=Escherichia coli (strain K12) GN=ftsL PE=3 SV=1	ftsL	2	144.61	13600.25765	b0083	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
b0084	Peptidoglycan synthase ftsI OS=Escherichia coli (strain K12) GN=ftsI PE=1 SV=1	ftsI	5	213.82	63819.499789999994	b0084	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b0085	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase OS=Escherichia coli (strain K12) GN=murE PE=1 SV=2	murE	12	772.2	53291.93557	b0085	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b0086	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase OS=Escherichia coli (strain K12) GN=murF PE=1 SV=2	murF	10	633.27	47399.59944	b0086	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b0087	Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Escherichia coli (strain K12) GN=mraY PE=1 SV=1	mraY	2	63.52	39830.55502	b0087	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b0088	UDP-N-acetylmuramoylalanine--D-glutamate ligase OS=Escherichia coli (strain K12) GN=murD PE=1 SV=3	murD	3	189.63	46925.84164	b0088	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b0090	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase OS=Escherichia coli (strain K12) GN=murG PE=1 SV=3	murG	5	271.28	37772.88165	b0090	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b0091	UDP-N-acetylmuramate--L-alanine ligase OS=Escherichia coli (strain K12) GN=murC PE=1 SV=2	murC	10	658.89	53574.3631	b0091	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b0092	D-alanine--D-alanine ligase B OS=Escherichia coli (strain K12) GN=ddlB PE=1 SV=3	ddlB	7	336.14	32800.79555	b0092	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b0094	Cell division protein ftsA OS=Escherichia coli (strain K12) GN=ftsA PE=3 SV=1	ftsA	14	672.86	45283.45163	b0094	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
b0095	Cell division protein ftsZ OS=Escherichia coli (strain K12) GN=ftsZ PE=1 SV=1	ftsZ	32	2379.17	40280.55906	b0095	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
b0096	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase OS=Escherichia coli (strain K12) GN=lpxC PE=3 SV=1	lpxC	4	231.03	33916.225230000004	b0096	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b0098	Protein translocase subunit secA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2	secA	40	2576.06	101940.9335	b0098	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
b0099	Mutator mutT protein OS=Escherichia coli (strain K12) GN=mutT PE=1 SV=1	mutT	2	78.35	14899.608030000001	b0099	F	Nucleotide transport and metabolism	METABOLISM
b0101	UPF0243 zinc-binding protein yacG OS=Escherichia coli (strain K12) GN=yacG PE=1 SV=1	yacG	1	39.63	7283.40821	b0101	S	Function unknown	POORLY CHARACTERIZED
b0102	UPF0289 protein yacF OS=Escherichia coli (strain K12) GN=yacF PE=3 SV=2	zapD	5	243.4	28255.84769	b0102	S	Function unknown	POORLY CHARACTERIZED
b0103	Dephospho-CoA kinase OS=Escherichia coli (strain K12) GN=coaE PE=1 SV=1	coaE	3	157.14	22589.85479	b0103	H	Coenzyme transport and metabolism	METABOLISM
b0104	GMP reductase OS=Escherichia coli (strain K12) GN=guaC PE=1 SV=1	guaC	12	715.5	37341.7954	b0104	F	Nucleotide transport and metabolism	METABOLISM
b0109	Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Escherichia coli (strain K12) GN=nadC PE=1 SV=7	nadC	13	701.08	32723.948630000003	b0109	H	Coenzyme transport and metabolism	METABOLISM
b0110	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD OS=Escherichia coli (strain K12) GN=ampD PE=2 SV=1	ampD	8	462.43	20505.15669	b0110	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
b0111	Protein AmpE OS=Escherichia coli (strain K12) GN=ampE PE=1 SV=1	ampE	1	77.03	32083.28877	b0111	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
b0112	Aromatic amino acid transport protein AroP OS=Escherichia coli (strain K12) GN=aroP PE=1 SV=3	aroP	3	168.33	49639.282869999995	b0112	E	Amino acid transport and metabolism	METABOLISM
b0113	Pyruvate dehydrogenase complex repressor OS=Escherichia coli (strain K12) GN=pdhR PE=1 SV=1	pdhR	4	224.5	29389.36331	b0113	K	Transcription	INFORMATION STORAGE AND PROCESSING
b0114	Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2	aceE	59	3547.25	99587.94042	b0114	C	Energy production and conversion	METABOLISM
b0115	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3	aceF	40	2531.68	66036.77653999999	b0115	C	Energy production and conversion	METABOLISM
b0116	Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain K12) GN=lpdA PE=1 SV=2	lpdA	25	1872.62	50638.58341		-		
b0118	Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3	acnB	67	4505.67	93420.9457	b0118	C	Energy production and conversion	METABOLISM
b0119	UPF0231 protein yacL OS=Escherichia coli (strain K12) GN=yacL PE=3 SV=1	yacL	2	116.33	13914.52935	b0119	S	Function unknown	POORLY CHARACTERIZED
b0120	S-adenosylmethionine decarboxylase proenzyme OS=Escherichia coli (strain K12) GN=speD PE=1 SV=1	speD	9	602.17	30347.05278	b0120	E	Amino acid transport and metabolism	METABOLISM
b0121	Spermidine synthase OS=Escherichia coli (strain K12) GN=speE PE=1 SV=2	speE	7	450.06	32282.72207	b0121	E	Amino acid transport and metabolism	METABOLISM
b0122	Uncharacterized protein yacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	yacC	3	191.02	12827.369929999999	b0122	-		
b0123	Blue copper oxidase CueO OS=Escherichia coli (strain K12) GN=cueO PE=1 SV=2	cueO	9	504.84	56501.41538	b0123	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
b0124	Quinoprotein glucose dehydrogenase OS=Escherichia coli (strain K12) GN=gcd PE=1 SV=3	gcd	15	768.4	86673.81201000001	b0124	G	Carbohydrate transport and metabolism	METABOLISM
b0125	Hypoxanthine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=hpt PE=1 SV=1	hpt	9	472.36	20084.39054	b0125	F	Nucleotide transport and metabolism	METABOLISM
b0126	Carbonic anhydrase 2 OS=Escherichia coli (strain K12) GN=can PE=1 SV=1	can	9	712.03	25062.79563	b0126	P	Inorganic ion transport and metabolism	METABOLISM
b0127	Uncharacterized ABC transporter ATP-binding protein YadG OS=Escherichia coli (strain K12) GN=yadG PE=1 SV=1	yadG	6	268.55	34607.32501	b0127	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
b0131	Aspartate 1-decarboxylase OS=Escherichia coli (strain K12) GN=panD PE=1 SV=1	panD	3	167.52	13806.94847	b0131	H	Coenzyme transport and metabolism	METABOLISM
b0133	Pantothenate synthetase OS=Escherichia coli (strain K12) GN=panC PE=1 SV=1	panC	12	792.88	31559.67743	b0133	H	Coenzyme transport and metabolism	METABOLISM
b0134	3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=panB PE=1 SV=1	panB	12	702.0	28201.38237	b0134	H	Coenzyme transport and metabolism	METABOLISM
b0142	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase OS=Escherichia coli (strain K12) GN=folK PE=1 SV=3	folK	2	193.15	18049.367469999997	b0142	H	Coenzyme transport and metabolism	METABOLISM
b0143	Poly(A) polymerase OS=Escherichia coli (strain K12) GN=pcnB PE=1 SV=2	pcnB	9	400.91	53819.05532000001	b0143	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b0144	Glutamyl-Q tRNA(Asp) synthetase OS=Escherichia coli (strain K12) GN=gluQ PE=1 SV=6	gluQ	9	415.47	34827.855939999994		-		
b0145	DnaK suppressor protein OS=Escherichia coli (strain K12) GN=dksA PE=1 SV=1	dksA	11	923.54	17498.7338	b0145	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
b0146	Sugar fermentation stimulation protein A OS=Escherichia coli (strain K12) GN=sfsA PE=3 SV=1	sfsA	4	178.01	26194.267509999998	b0146	R	General function prediction only	POORLY CHARACTERIZED
b0149	Penicillin-binding protein 1B OS=Escherichia coli (strain K12) GN=mrcB PE=1 SV=2	mrcB	10	528.79	88815.91012999999	b0149	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b0149	Isoform Gamma of Penicillin-binding protein 1B OS=Escherichia coli (strain K12) GN=mrcB	mrcB	3	327.03	88815.91012999999	b0149	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b0150	Ferrichrome-iron receptor OS=Escherichia coli (strain K12) GN=fhuA PE=1 SV=2	fhuA	26	1525.73	82113.29387000001	b0150	P	Inorganic ion transport and metabolism	METABOLISM
b0151	Iron(3+)-hydroxamate import ATP-binding protein FhuC OS=Escherichia coli (strain K12) GN=fhuC PE=1 SV=3	fhuC	10	582.72	28850.069160000003	b0151	PH	Inorganic ion transport and metabolism	METABOLISM
b0152	Iron(3+)-hydroxamate-binding protein fhuD OS=Escherichia coli (strain K12) GN=fhuD PE=1 SV=3	fhuD	3	126.51	32958.97238	b0152	P	Inorganic ion transport and metabolism	METABOLISM
b0154	Glutamate-1-semialdehyde 2,1-aminomutase OS=Escherichia coli (strain K12) GN=hemL PE=1 SV=2	hemL	15	812.05	45318.36911	b0154	H	Coenzyme transport and metabolism	METABOLISM
b0156	Iron-sulfur cluster insertion protein erpA OS=Escherichia coli (strain K12) GN=erpA PE=1 SV=1	erpA	2	110.04	12074.75582	b0156	S	Function unknown	POORLY CHARACTERIZED
b0158	Vitamin B12-binding protein OS=Escherichia coli (strain K12) GN=btuF PE=1 SV=2	btuF	2	189.51	29330.507739999997	b0158	P	Inorganic ion transport and metabolism	METABOLISM
b0159	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Escherichia coli (strain K12) GN=mtnN PE=1 SV=1	mtnN	7	603.08	24320.561990000002		-		
b0160	Deoxyguanosinetriphosphate triphosphohydrolase OS=Escherichia coli (strain K12) GN=dgt PE=1 SV=4	dgt	2	55.74	59327.47404	b0160	F	Nucleotide transport and metabolism	METABOLISM
b0161	Protease do OS=Escherichia coli (strain K12) GN=degP PE=1 SV=1	degP	23	1640.41	49305.44896	b0161	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
b0163	UPF0325 protein yaeH OS=Escherichia coli (strain K12) GN=yaeH PE=3 SV=1	yaeH	9	412.95	15068.914359999999	b0163	-		
b0166	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Escherichia coli (strain K12) GN=dapD PE=1 SV=1	dapD	16	1414.34	29855.425789999998	b0166	E	Amino acid transport and metabolism	METABOLISM
b0167	[Protein-PII] uridylyltransferase OS=Escherichia coli (strain K12) GN=glnD PE=3 SV=2	glnD	11	575.83	102307.94	b0167	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
b0168	Methionine aminopeptidase OS=Escherichia coli (strain K12) GN=map PE=1 SV=1	map	15	729.78	29293.90197	b0168	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b0169	30S ribosomal protein S2 OS=Escherichia coli (strain K12) GN=rpsB PE=1 SV=2	rpsB	23	1290.05	26708.79452	b0169	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b0170	Elongation factor Ts OS=Escherichia coli (strain K12) GN=tsf PE=1 SV=2	tsf	35	2366.23	30385.768060000002	b0170	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b0171	Uridylate kinase OS=Escherichia coli (strain K12) GN=pyrH PE=1 SV=2	pyrH	8	363.32	25935.5313	b0171	F	Nucleotide transport and metabolism	METABOLISM
b0172	Ribosome-recycling factor OS=Escherichia coli (strain K12) GN=frr PE=1 SV=1	frr	12	702.98	20607.853219999997	b0172	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b0173	1-deoxy-D-xylulose 5-phosphate reductoisomerase OS=Escherichia coli (strain K12) GN=dxr PE=1 SV=2	dxr	8	383.48	43341.902219999996	b0173	I	Lipid transport and metabolism	METABOLISM
b0174	Undecaprenyl pyrophosphate synthase OS=Escherichia coli (strain K12) GN=uppS PE=1 SV=1	uppS	3	121.25	28408.39075		-		
b0175	Phosphatidate cytidylyltransferase OS=Escherichia coli (strain K12) GN=cdsA PE=1 SV=2	cdsA	1	61.86	31415.046410000003	b0175	I	Lipid transport and metabolism	METABOLISM
b0176	Regulator of sigma E protease OS=Escherichia coli (strain K12) GN=rseP PE=1 SV=1	rseP	2	67.52	49022.40986	b0176	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b0177	Outer membrane protein assembly factor yaeT OS=Escherichia coli (strain K12) GN=yaeT PE=1 SV=1	bamA	34	2111.5	90478.46722	b0177	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b0178	Chaperone protein skp OS=Escherichia coli (strain K12) GN=skp PE=1 SV=1	skp	7	643.65	17659.27147	b0178	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b0179	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase OS=Escherichia coli (strain K12) GN=lpxD PE=1 SV=2	lpxD	3	96.85	35997.37746	b0179	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b0180	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase OS=Escherichia coli (strain K12) GN=fabZ PE=1 SV=1	fabZ	7	648.83	17003.89284	b0180	I	Lipid transport and metabolism	METABOLISM
b0181	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase OS=Escherichia coli (strain K12) GN=lpxA PE=1 SV=1	lpxA	5	283.4	28044.39864	b0181	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b0182	Lipid-A-disaccharide synthase OS=Escherichia coli (strain K12) GN=lpxB PE=1 SV=2	lpxB	5	111.05	42337.171160000005	b0182	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b0183	Ribonuclease HII OS=Escherichia coli (strain K12) GN=rnhB PE=1 SV=2	rnhB	2	73.52	21494.37992	b0183	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
b0184	DNA polymerase III subunit alpha OS=Escherichia coli (strain K12) GN=dnaE PE=1 SV=1	dnaE	3	107.96	129804.09800000001	b0184	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
b0185	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) GN=accA PE=1 SV=2	accA	21	1388.86	35201.29042	b0185	I	Lipid transport and metabolism	METABOLISM
b0186	Lysine decarboxylase, constitutive OS=Escherichia coli (strain K12) GN=ldcC PE=1 SV=2	ldcC	3	123.54	80520.35879	b0186	E	Amino acid transport and metabolism	METABOLISM
b0187	Uncharacterized protein yaeR OS=Escherichia coli (strain K12) GN=yaeR PE=4 SV=1	yaeR	2	115.76	14709.3447	b0187	E	Amino acid transport and metabolism	METABOLISM
b0188	tRNA(Ile)-lysidine synthase OS=Escherichia coli (strain K12) GN=tilS PE=1 SV=1	tilS	1	62.92	48156.13499	b0188	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
b0189	Protein rof OS=Escherichia coli (strain K12) GN=rof PE=1 SV=1	rof	2	60.34	9455.67371	b0189	K	Transcription	INFORMATION STORAGE AND PROCESSING
b0190	Uncharacterized protein yaeQ OS=Escherichia coli (strain K12) GN=yaeQ PE=1 SV=1	yaeQ	1	32.68	20845.49274	b0190	S	Function unknown	POORLY CHARACTERIZED
b0192	Lipoprotein NlpE OS=Escherichia coli (strain K12) GN=nlpE PE=1 SV=1	nlpE	3	105.32	25809.505719999997	b0192	MP	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b0194	Prolyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=proS PE=1 SV=4	proS	29	2204.63	63634.68294	b0194	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b0195	UPF0066 protein yaeB OS=Escherichia coli (strain K12) GN=yaeB PE=1 SV=2	tsaA	2	68.97	26327.69853	b0195	S	Function unknown	POORLY CHARACTERIZED
b0196	Protein rcsF OS=Escherichia coli (strain K12) GN=rcsF PE=4 SV=1	rcsF	5	305.21	14136.208069999999	b0196	-		
b0197	D-methionine-binding lipoprotein metQ OS=Escherichia coli (strain K12) GN=metQ PE=1 SV=2	metQ	15	1245.36	29395.54573	b0197	P	Inorganic ion transport and metabolism	METABOLISM
b0198	D-methionine transport system permease protein metI OS=Escherichia coli (strain K12) GN=metI PE=1 SV=1	metI	2	197.47	23222.84957	b0198	P	Inorganic ion transport and metabolism	METABOLISM
b0199	Methionine import ATP-binding protein MetN OS=Escherichia coli (strain K12) GN=metN PE=1 SV=4	metN	7	586.2	37746.71445	b0199	P	Inorganic ion transport and metabolism	METABOLISM
b0200	D,D-heptose 1,7-bisphosphate phosphatase OS=Escherichia coli (strain K12) GN=gmhB PE=1 SV=1	gmhB	4	148.27	21262.522259999998	b0200	E	Amino acid transport and metabolism	METABOLISM
b0207	2,5-diketo-D-gluconic acid reductase B OS=Escherichia coli (strain K12) GN=dkgB PE=1 SV=2	dkgB	7	290.04	29400.446989999997	b0207	R	General function prediction only	POORLY CHARACTERIZED
b0208	Uncharacterized HTH-type transcriptional regulator yafC OS=Escherichia coli (strain K12) GN=yafC PE=1 SV=1	yafC	2	49.0	33736.61375	b0208	K	Transcription	INFORMATION STORAGE AND PROCESSING
b0212	Hydroxyacylglutathione hydrolase OS=Escherichia coli (strain K12) GN=gloB PE=1 SV=1	gloB	4	253.41	28398.34858	b0212	R	General function prediction only	POORLY CHARACTERIZED
b0214	Ribonuclease HI OS=Escherichia coli (strain K12) GN=rnhA PE=1 SV=1	rnhA	2	99.7	17567.83941	b0214	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
b0215	DNA polymerase III subunit epsilon OS=Escherichia coli (strain K12) GN=dnaQ PE=1 SV=1	dnaQ	2	119.96	27063.740210000004	b0215	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
